trial_id,model_type,timestamp,num_conv_layers,base_filters,kernel_size,dense_units,dropout_rate,learning_rate,batch_size,activation,val_loss,val_mae,final_train_loss,training_epochs,lstm_units,merge_mode,recurrent_dropout,rnn_units
CNN_20250914_204656_060616,CNN,2025-09-14T20:46:56.060743,3.0,32.0,5.0,256.0,0.3,0.001,32,elu,2274.009765625,25.97747802734375,3293.3173828125,36,,,,
CNN_20250914_204715_642069,CNN,2025-09-14T20:47:15.642135,2.0,64.0,3.0,64.0,0.4,0.001,32,relu,3077.8408203125,29.08884048461914,4835.6708984375,23,,,,
CNN_20250914_204756_080423,CNN,2025-09-14T20:47:56.080528,3.0,32.0,3.0,256.0,0.3,0.0005,32,elu,2426.595458984375,26.74461555480957,3313.333740234375,43,,,,
CNN_20250914_204811_532645,CNN,2025-09-14T20:48:11.532740,2.0,32.0,5.0,128.0,0.4,0.001,64,elu,2888.069580078125,27.748350143432617,3992.90576171875,37,,,,
CNN_20250914_204847_984688,CNN,2025-09-14T20:48:47.984772,2.0,64.0,5.0,64.0,0.3,0.001,32,relu,2509.079345703125,26.945148468017575,3561.540283203125,49,,,,
CNN_20250914_204859_930670,CNN,2025-09-14T20:48:59.930791,2.0,64.0,5.0,256.0,0.5,0.0005,64,relu,3246.923583984375,30.382474899291992,4588.4990234375,23,,,,
CNN_20250914_204907_766074,CNN,2025-09-14T20:49:07.766177,2.0,32.0,5.0,128.0,0.5,0.001,64,relu,3398.36279296875,31.775495529174805,5609.57666015625,18,,,,
CNN_20250914_204944_159915,CNN,2025-09-14T20:49:44.160011,2.0,64.0,3.0,128.0,0.4,0.0005,32,relu,2723.226318359375,27.944395065307617,4068.23779296875,50,,,,
CNN_20250914_205025_723855,CNN,2025-09-14T20:50:25.723942,3.0,32.0,3.0,64.0,0.4,0.001,32,elu,2415.63671875,26.75840187072754,4089.1689453125,49,,,,
CNN_20250914_205034_765166,CNN,2025-09-14T20:50:34.765315,3.0,64.0,3.0,64.0,0.4,0.001,64,relu,3129.843017578125,29.98926544189453,4761.08251953125,11,,,,
BiLSTM_20250914_195836_281508,BiLSTM,2025-09-14T19:58:36.281693,,,,,0.5,0.0005,32,,2188.5224609375,24.6453800201416,2690.315185546875,50,"[64, 32]",concat,0.2,
BiLSTM_20250914_200119_215895,BiLSTM,2025-09-14T20:01:19.216141,,,,,0.5,0.0005,32,,2061.600830078125,24.165447235107425,3045.383056640625,50,"[64, 32]",sum,0.0,
BiLSTM_20250914_200526_139404,BiLSTM,2025-09-14T20:05:26.139625,,,,,0.5,0.0001,64,,3262.425048828125,27.5220947265625,3381.3466796875,50,"[256, 128]",concat,0.1,
BiLSTM_20250914_200725_037477,BiLSTM,2025-09-14T20:07:25.037619,,,,,0.3,0.0005,64,,2134.223876953125,24.033342361450195,2486.180419921875,50,"[64, 32]",concat,0.0,
BiLSTM_20250914_201018_441425,BiLSTM,2025-09-14T20:10:18.441605,,,,,0.4,0.0005,64,,2096.905029296875,23.984968185424805,2302.07666015625,32,"[256, 128]",concat,0.1,
BiLSTM_20250914_201332_049495,BiLSTM,2025-09-14T20:13:32.049600,,,,,0.3,0.0005,16,,1996.0491943359373,23.506839752197266,2156.97705078125,27,"[256, 128]",sum,0.2,
BiLSTM_20250914_201550_403976,BiLSTM,2025-09-14T20:15:50.404083,,,,,0.3,0.0005,64,,2093.5205078125,23.62472343444824,1934.685302734375,50,"[256, 128]",concat,0.2,
BiLSTM_20250914_201740_287047,BiLSTM,2025-09-14T20:17:40.287158,,,,,0.5,0.0005,64,,2099.898193359375,23.987611770629883,2429.310791015625,42,"[256, 128]",sum,0.1,
BiLSTM_20250914_201902_225585,BiLSTM,2025-09-14T20:19:02.225657,,,,,0.5,0.001,64,,2075.090087890625,23.63597297668457,2409.608154296875,27,"[256, 128]",concat,0.0,
BiLSTM_20250914_202238_305477,BiLSTM,2025-09-14T20:22:38.305567,,,,,0.4,0.0005,16,,2001.9656982421875,23.270648956298828,2163.1484375,32,"[256, 128]",concat,0.0,
LSTM_20250914_192813_204739,LSTM,2025-09-14T19:28:13.205032,,,,,0.4,0.001,16,tanh,2046.695068359375,23.73684310913086,2436.55615234375,28,"[256, 128, 64]",,0.2,
LSTM_20250914_193246_469680,LSTM,2025-09-14T19:32:46.469874,,,,,0.2,0.0001,32,relu,2375.7080078125,26.15393447875977,2936.1865234375,50,"[256, 128, 64]",,0.1,
LSTM_20250914_193535_805349,LSTM,2025-09-14T19:35:35.805503,,,,,0.5,0.0001,64,tanh,6927.7421875,31.508766174316406,6929.58837890625,50,"[256, 128, 64]",,0.2,
LSTM_20250914_193821_916674,LSTM,2025-09-14T19:38:21.916873,,,,,0.5,0.0001,64,tanh,4732.046875,28.714826583862305,5143.96044921875,50,"[256, 128, 64]",,0.1,
LSTM_20250914_193921_051106,LSTM,2025-09-14T19:39:21.051252,,,,,0.5,0.001,64,relu,2443.068603515625,26.372737884521484,4033.0986328125,17,"[256, 128, 64]",,0.2,
LSTM_20250914_194116_259447,LSTM,2025-09-14T19:41:16.259579,,,,,0.4,0.0005,32,relu,2346.549072265625,26.303430557250977,3728.390625,29,"[128, 64, 32]",,0.1,
LSTM_20250914_194324_133844,LSTM,2025-09-14T19:43:24.134077,,,,,0.4,0.0001,64,tanh,6738.064453125,31.33379554748535,6841.9375,50,"[128, 64, 32]",,0.1,
LSTM_20250914_194639_633739,LSTM,2025-09-14T19:46:39.633829,,,,,0.3,0.0005,16,tanh,2284.8671875,25.223201751708984,3075.931640625,33,"[64, 32, 16]",,0.2,
LSTM_20250914_195507_850362,LSTM,2025-09-14T19:55:07.850509,,,,,0.2,0.0001,16,relu,2123.530517578125,24.5718994140625,2645.505126953125,50,"[256, 128, 64]",,0.2,
LSTM_20250914_195550_352434,LSTM,2025-09-14T19:55:50.352510,,,,,0.5,0.0005,32,relu,3193.31591796875,31.019508361816406,6836.4853515625,12,"[64, 32, 16]",,0.2,
RNN_20250914_185233_096615,RNN,2025-09-14T18:52:33.096738,,,,,0.2,0.0005,64,relu,2951.48876953125,28.55306625366211,3607.58349609375,50,,,,"[64, 32]"
RNN_20250914_185324_796822,RNN,2025-09-14T18:53:24.796965,,,,,0.4,0.0001,64,tanh,6589.6689453125,33.17141342163086,7768.9189453125,50,,,,"[64, 32]"
RNN_20250914_185516_282337,RNN,2025-09-14T18:55:16.282461,,,,,0.3,0.001,16,relu,2943.138671875,29.108963012695312,3489.5390625,31,,,,"[64, 32]"
RNN_20250914_185614_095011,RNN,2025-09-14T18:56:14.095356,,,,,0.3,0.001,64,relu,2446.035400390625,26.092744827270508,3114.50634765625,50,,,,"[128, 64]"
RNN_20250914_185903_306223,RNN,2025-09-14T18:59:03.306373,,,,,0.3,0.0005,16,tanh,2506.481201171875,26.387432098388672,3291.6337890625,50,,,,"[64, 32]"
RNN_20250914_190251_552090,RNN,2025-09-14T19:02:51.552218,,,,,0.4,0.0001,16,relu,2866.322509765625,28.014801025390625,3625.264892578125,50,,,,"[256, 128]"
RNN_20250914_190443_945907,RNN,2025-09-14T19:04:43.945995,,,,,0.2,0.0005,32,relu,2106.9814453125,24.348848342895508,2420.710205078125,45,,,,"[256, 128]"
RNN_20250914_190732_253759,RNN,2025-09-14T19:07:32.253917,,,,,0.4,0.0001,16,tanh,3637.2646484375,28.850923538208008,4413.15576171875,50,,,,"[128, 64]"
RNN_20250914_190844_159986,RNN,2025-09-14T19:08:44.160146,,,,,0.2,0.001,16,tanh,2450.384033203125,25.78173446655273,2971.961669921875,22,,,,"[64, 32]"
RNN_20250914_191102_324067,RNN,2025-09-14T19:11:02.324142,,,,,0.4,0.001,16,tanh,2243.68212890625,24.92637825012207,2840.381591796875,29,,,,"[256, 128]"
