trial_id,model_type,timestamp,val_loss,val_mae,final_train_loss,training_epochs,batch_size,cnn_filters,dense_units,dropout_rate,learning_rate,lstm_units,rnn_units
CNN-BiLSTM_20250915_192726_933809,CNN-BiLSTM,2025-09-15T19:27:26.933962,2238.254638671875,24.469772338867188,2861.151123046875,18,32,64,256,0.3,0.001,64,32
CNN-BiLSTM_20250915_192856_906211,CNN-BiLSTM,2025-09-15T19:28:56.906341,2465.07666015625,26.6125545501709,2909.960693359375,16,32,32,256,0.3,0.001,128,64
CNN-BiLSTM_20250915_193100_598470,CNN-BiLSTM,2025-09-15T19:31:00.598707,2200.392333984375,24.660551071166992,2818.52392578125,40,64,64,256,0.3,0.0005,64,64
CNN-BiLSTM_20250915_193327_425962,CNN-BiLSTM,2025-09-15T19:33:27.426157,2599.508544921875,26.271333694458008,3291.8583984375,50,64,64,256,0.3,0.0001,64,64
CNN-BiLSTM_20250915_193644_389936,CNN-BiLSTM,2025-09-15T19:36:44.390070,3570.72509765625,31.542320251464844,4652.98046875,48,32,32,256,0.5,0.0001,64,32
CNN-BiLSTM_20250915_193737_780027,CNN-BiLSTM,2025-09-15T19:37:37.780245,2838.8251953125,27.782855987548828,3762.15869140625,11,32,32,256,0.4,0.001,64,64
CNN-BiLSTM_20250915_193844_182623,CNN-BiLSTM,2025-09-15T19:38:44.182900,3466.444091796875,31.84792137145996,4730.1513671875,18,64,32,64,0.5,0.001,128,64
CNN-BiLSTM_20250915_194115_325551,CNN-BiLSTM,2025-09-15T19:41:15.325883,2738.2685546875,29.187728881835938,3588.9658203125,26,32,64,128,0.5,0.0005,128,32
CNN-BiLSTM_20250915_194400_405447,CNN-BiLSTM,2025-09-15T19:44:00.405599,4194.84228515625,31.52889060974121,5758.66552734375,50,64,32,64,0.5,0.0001,128,32
CNN-BiLSTM_20250915_194608_684601,CNN-BiLSTM,2025-09-15T19:46:08.684852,2227.07861328125,25.29363441467285,2813.6796875,31,64,64,256,0.4,0.001,128,32
