trial_id,model_type,timestamp,num_conv_layers,base_filters,kernel_size,dense_units,dropout_rate,learning_rate,batch_size,activation,val_loss,val_mae,final_train_loss,training_epochs
CNN_20250914_204656_060616,CNN,2025-09-14T20:46:56.060743,3,32,5,256,0.3,0.001,32,elu,2274.009765625,25.97747802734375,3293.3173828125,36
CNN_20250914_204715_642069,CNN,2025-09-14T20:47:15.642135,2,64,3,64,0.4,0.001,32,relu,3077.8408203125,29.08884048461914,4835.6708984375,23
CNN_20250914_204756_080423,CNN,2025-09-14T20:47:56.080528,3,32,3,256,0.3,0.0005,32,elu,2426.595458984375,26.74461555480957,3313.333740234375,43
CNN_20250914_204811_532645,CNN,2025-09-14T20:48:11.532740,2,32,5,128,0.4,0.001,64,elu,2888.069580078125,27.748350143432617,3992.90576171875,37
CNN_20250914_204847_984688,CNN,2025-09-14T20:48:47.984772,2,64,5,64,0.3,0.001,32,relu,2509.079345703125,26.945148468017578,3561.540283203125,49
CNN_20250914_204859_930670,CNN,2025-09-14T20:48:59.930791,2,64,5,256,0.5,0.0005,64,relu,3246.923583984375,30.382474899291992,4588.4990234375,23
CNN_20250914_204907_766074,CNN,2025-09-14T20:49:07.766177,2,32,5,128,0.5,0.001,64,relu,3398.36279296875,31.775495529174805,5609.57666015625,18
CNN_20250914_204944_159915,CNN,2025-09-14T20:49:44.160011,2,64,3,128,0.4,0.0005,32,relu,2723.226318359375,27.944395065307617,4068.23779296875,50
CNN_20250914_205025_723855,CNN,2025-09-14T20:50:25.723942,3,32,3,64,0.4,0.001,32,elu,2415.63671875,26.75840187072754,4089.1689453125,49
CNN_20250914_205034_765166,CNN,2025-09-14T20:50:34.765315,3,64,3,64,0.4,0.001,64,relu,3129.843017578125,29.98926544189453,4761.08251953125,11
