trial_id,model_type,timestamp,activation,batch_size,dropout_rate,learning_rate,lstm_units,recurrent_dropout,val_loss,val_mae,final_train_loss,training_epochs
LSTM_20250914_192813_204739,LSTM,2025-09-14T19:28:13.205032,tanh,16,0.4,0.001,"[256, 128, 64]",0.2,2046.695068359375,23.73684310913086,2436.55615234375,28
LSTM_20250914_193246_469680,LSTM,2025-09-14T19:32:46.469874,relu,32,0.2,0.0001,"[256, 128, 64]",0.1,2375.7080078125,26.153934478759766,2936.1865234375,50
LSTM_20250914_193535_805349,LSTM,2025-09-14T19:35:35.805503,tanh,64,0.5,0.0001,"[256, 128, 64]",0.2,6927.7421875,31.508766174316406,6929.58837890625,50
LSTM_20250914_193821_916674,LSTM,2025-09-14T19:38:21.916873,tanh,64,0.5,0.0001,"[256, 128, 64]",0.1,4732.046875,28.714826583862305,5143.96044921875,50
LSTM_20250914_193921_051106,LSTM,2025-09-14T19:39:21.051252,relu,64,0.5,0.001,"[256, 128, 64]",0.2,2443.068603515625,26.372737884521484,4033.0986328125,17
LSTM_20250914_194116_259447,LSTM,2025-09-14T19:41:16.259579,relu,32,0.4,0.0005,"[128, 64, 32]",0.1,2346.549072265625,26.303430557250977,3728.390625,29
LSTM_20250914_194324_133844,LSTM,2025-09-14T19:43:24.134077,tanh,64,0.4,0.0001,"[128, 64, 32]",0.1,6738.064453125,31.33379554748535,6841.9375,50
LSTM_20250914_194639_633739,LSTM,2025-09-14T19:46:39.633829,tanh,16,0.3,0.0005,"[64, 32, 16]",0.2,2284.8671875,25.223201751708984,3075.931640625,33
LSTM_20250914_195507_850362,LSTM,2025-09-14T19:55:07.850509,relu,16,0.2,0.0001,"[256, 128, 64]",0.2,2123.530517578125,24.5718994140625,2645.505126953125,50
LSTM_20250914_195550_352434,LSTM,2025-09-14T19:55:50.352510,relu,32,0.5,0.0005,"[64, 32, 16]",0.2,3193.31591796875,31.019508361816406,6836.4853515625,12
