trial_id,model_type,timestamp,val_loss,val_mae,final_train_loss,training_epochs,batch_size,cnn_filters,dense_units,dropout_rate,learning_rate,lstm_units,num_rnn_layers,rnn_activation,rnn_units
RNN-CNN_20250915_200253_798492,RNN-CNN,2025-09-15T20:02:53.798571,3174.1787109375,29.118427276611328,4450.66650390625,11,64,32,256,0.4,0.0005,64,2,relu,256
RNN-CNN_20250915_200309_627763,RNN-CNN,2025-09-15T20:03:09.627854,3862.91748046875,33.01885986328125,6338.55126953125,23,64,64,64,0.4,0.0001,64,2,relu,64
RNN-CNN_20250915_200317_849415,RNN-CNN,2025-09-15T20:03:17.849490,4164.3515625,34.05023956298828,7350.77783203125,12,64,32,128,0.5,0.0005,64,3,relu,64
RNN-CNN_20250915_200330_990602,RNN-CNN,2025-09-15T20:03:30.990671,3975.865234375,34.25301742553711,7015.546875,11,32,64,64,0.5,0.001,64,3,tanh,64
RNN-CNN_20250915_200348_523128,RNN-CNN,2025-09-15T20:03:48.523298,2618.23583984375,27.71164321899414,4547.63720703125,23,64,32,128,0.4,0.001,64,3,tanh,128
RNN-CNN_20250915_200409_963604,RNN-CNN,2025-09-15T20:04:09.963760,3875.945068359375,33.26242446899414,6593.3994140625,35,64,32,128,0.4,0.0001,128,2,tanh,64
RNN-CNN_20250915_200438_367028,RNN-CNN,2025-09-15T20:04:38.367139,4015.006103515625,33.895870208740234,7217.6025390625,25,32,32,128,0.5,0.0001,128,2,relu,128
RNN-CNN_20250915_200449_846956,RNN-CNN,2025-09-15T20:04:49.847053,2919.243408203125,27.679031372070312,4860.1435546875,16,64,32,64,0.4,0.001,64,2,tanh,128
RNN-CNN_20250915_200508_014198,RNN-CNN,2025-09-15T20:05:08.014298,3043.95751953125,29.839380264282227,5189.865234375,16,32,32,64,0.4,0.0005,64,3,relu,128
RNN-CNN_20250915_200516_774469,RNN-CNN,2025-09-15T20:05:16.774567,2983.293212890625,30.030006408691406,3842.043212890625,11,64,64,128,0.3,0.001,64,2,tanh,64
