trial_id,model_type,timestamp,val_loss,val_mae,final_train_loss,training_epochs,batch_size,cnn_filters,dense_units,dropout_rate,learning_rate,lstm_units,num_rnn_layers,rnn_activation,rnn_units
RNN-LSTM_20250915_194818_627581,RNN-LSTM,2025-09-15T19:48:18.627744,2350.15478515625,26.028594970703125,3425.720458984375,29,32,32,64,0.3,0.001,64,2,relu,64
RNN-LSTM_20250915_195051_005448,RNN-LSTM,2025-09-15T19:50:51.005656,3889.837158203125,31.143505096435547,4880.2119140625,50,64,64,128,0.4,0.0001,128,2,relu,64
RNN-LSTM_20250915_195146_397241,RNN-LSTM,2025-09-15T19:51:46.397395,2635.348388671875,27.390132904052734,3592.204345703125,17,64,32,256,0.5,0.001,128,3,relu,128
RNN-LSTM_20250915_195318_004072,RNN-LSTM,2025-09-15T19:53:18.004185,2245.108642578125,25.29100227355957,3427.513671875,33,64,32,256,0.5,0.0005,64,2,tanh,256
RNN-LSTM_20250915_195520_724868,RNN-LSTM,2025-09-15T19:55:20.725025,2728.375,27.784093856811523,4591.90576171875,50,64,64,64,0.5,0.0005,64,2,tanh,128
RNN-LSTM_20250915_195747_269631,RNN-LSTM,2025-09-15T19:57:47.269762,3865.929931640625,31.99507713317871,5106.48779296875,50,32,64,64,0.4,0.0001,128,3,tanh,64
RNN-LSTM_20250915_195849_185353,RNN-LSTM,2025-09-15T19:58:49.185452,2679.69775390625,26.460142135620117,3430.18115234375,50,64,32,256,0.3,0.0001,128,2,tanh,128
RNN-LSTM_20250915_200015_325866,RNN-LSTM,2025-09-15T20:00:15.325954,3279.1220703125,29.481693267822266,4178.728515625,50,32,64,256,0.4,0.0001,128,3,tanh,64
RNN-LSTM_20250915_200148_427775,RNN-LSTM,2025-09-15T20:01:48.427863,1993.7349853515625,23.767126083374023,2052.60888671875,46,32,32,256,0.3,0.001,128,3,relu,256
RNN-LSTM_20250915_200242_926916,RNN-LSTM,2025-09-15T20:02:42.927008,3151.451416015625,27.29339027404785,3796.9755859375,50,64,32,128,0.3,0.0001,128,3,tanh,128
