trial_id,model_type,timestamp,activation,batch_size,dropout_rate,learning_rate,rnn_units,val_loss,val_mae,final_train_loss,training_epochs
RNN_20250914_185233_096615,RNN,2025-09-14T18:52:33.096738,relu,64,0.2,0.0005,"[64, 32]",2951.48876953125,28.55306625366211,3607.58349609375,50
RNN_20250914_185324_796822,RNN,2025-09-14T18:53:24.796965,tanh,64,0.4,0.0001,"[64, 32]",6589.6689453125,33.17141342163086,7768.9189453125,50
RNN_20250914_185516_282337,RNN,2025-09-14T18:55:16.282461,relu,16,0.3,0.001,"[64, 32]",2943.138671875,29.108963012695312,3489.5390625,31
RNN_20250914_185614_095011,RNN,2025-09-14T18:56:14.095356,relu,64,0.3,0.001,"[128, 64]",2446.035400390625,26.092744827270508,3114.50634765625,50
RNN_20250914_185903_306223,RNN,2025-09-14T18:59:03.306373,tanh,16,0.3,0.0005,"[64, 32]",2506.481201171875,26.387432098388672,3291.6337890625,50
RNN_20250914_190251_552090,RNN,2025-09-14T19:02:51.552218,relu,16,0.4,0.0001,"[256, 128]",2866.322509765625,28.014801025390625,3625.264892578125,50
RNN_20250914_190443_945907,RNN,2025-09-14T19:04:43.945995,relu,32,0.2,0.0005,"[256, 128]",2106.9814453125,24.348848342895508,2420.710205078125,45
RNN_20250914_190732_253759,RNN,2025-09-14T19:07:32.253917,tanh,16,0.4,0.0001,"[128, 64]",3637.2646484375,28.850923538208008,4413.15576171875,50
RNN_20250914_190844_159986,RNN,2025-09-14T19:08:44.160146,tanh,16,0.2,0.001,"[64, 32]",2450.384033203125,25.781734466552734,2971.961669921875,22
RNN_20250914_191102_324067,RNN,2025-09-14T19:11:02.324142,tanh,16,0.4,0.001,"[256, 128]",2243.68212890625,24.92637825012207,2840.381591796875,29
